venue_a,venue_b,overlap_canonical_events,both_executed,mean_abs_entry_yes_diff,median_abs_entry_yes_diff,pearson_entry_yes,spearman_entry_yes,terminal_outcome_disagreement_gt_0_01,signal_disagreement_count,signal_disagreement_rate,pearson_pnl_both_executed
FORECASTEX,KALSHI,51,39,0.682441176470588,0.845,-0.09565758872096436,0.04814029942279638,40,45,0.8823529411764706,0.0675169859198694
FORECASTEX,POLYMARKET,26,24,0.10719230769230768,0.027749999999999997,-0.0488497937394425,0.31988837438315076,3,3,0.11538461538461539,-0.10887273374263096
KALSHI,POLYMARKET,34,23,0.4214411764705882,0.47650000000000003,0.36319566175368695,0.4457786089724371,20,22,0.6470588235294118,0.29335909168311153
