label,n,linear_pnl_per_trade_index_slope,linear_trend_p,spearman_time_pnl_rho,spearman_time_pnl_p,first_half_mean_pnl,second_half_mean_pnl,second_minus_first_mean,welch_halves_p
ALL,1274,-1.3940001747731515e-05,0.5777158288104542,0.1004708033967048,0.0003285413301837979,0.0180054932845568,-0.005511773940345393,-0.023517267224902192,0.20153000553681727
FORECASTEX,182,-0.00026260760342818116,0.109374250712761,-0.1613324692670538,0.029572349673144087,0.01890109890109889,0.015934065934065923,-0.002967032967032969,0.863841821089526
KALSHI,229,6.621916001319032e-05,0.8074911087359059,-0.0338639406467099,0.6101941276439848,-0.007061403508771941,-8.695652173913525e-05,0.006974446987032806,0.8461906131145431
POLYMARKET,863,-3.483482539750432e-05,0.49139255973459006,-0.030356210607897338,0.3730992941012803,0.004693733694344969,0.008288194444444412,0.0035944607500994433,0.8867015023838073
