feature_a,feature_b,n_overlap,spearman_rho,pearson_r,abs_spearman,near_duplicate_flag,high_overlap_flag
total_collateral_notional,wallet_hhi_notional,115,-0.27331334,0.02410041,0.27331334,false,false
delta_1h,delta_24h,113,0.25817831,0.36790407,0.25817831,false,false
acceleration_proxy_1h_vs_6h,sign_consistency_1_6_24h,113,0.25783444,0.28249795,0.25783444,false,false
large_trade_share_top_decile,max_run_share,115,-0.25456791,-0.24852122,0.25456791,false,false
cusum_proxy_24h,same_side_transition_share,115,-0.24359227,-0.27667538,0.24359227,false,false
delta_1h,same_side_transition_share,115,0.23785922,0.06337836,0.23785922,false,false
hourly_realized_scale_24h,same_side_transition_share,115,-0.22879154,-0.26787251,0.22879154,false,false
large_trade_share_top_decile,price_last,115,0.22635427,0.12921129,0.22635427,false,false
max_run_share,path_roughness_24h,115,-0.22618695,-0.14727800,0.22618695,false,false
max_hourly_jump_24h,same_side_transition_share,115,-0.22517987,-0.27673253,0.22517987,false,false
signed_notional_imbalance,wallet_hhi_notional,115,0.21741927,0.01766627,0.21741927,false,false
log_total_notional,top_wallet_notional_share,115,-0.21554486,-0.26697028,0.21554486,false,false
top_wallet_notional_share,total_collateral_notional,115,-0.21554486,-0.05740447,0.21554486,false,false
delta_24h,signed_notional_imbalance,113,0.21006399,0.13355801,0.21006399,false,false
signed_notional_imbalance,top_wallet_notional_share,115,0.20955199,0.02513293,0.20955199,false,false
price_last,signed_count_imbalance,115,0.20892951,0.19914877,0.20892951,false,false
path_roughness_24h,same_side_transition_share,115,-0.20779687,-0.24678396,0.20779687,false,false
price_last,sign_consistency_1_6_24h,113,0.19028111,0.14554630,0.19028111,false,false
hourly_realized_scale_24h,max_run_share,115,-0.18561415,-0.10167023,0.18561415,false,false
log_total_notional,path_roughness_24h,115,0.18435983,0.10644384,0.18435983,false,false
path_roughness_24h,total_collateral_notional,115,0.18435983,0.03592047,0.18435983,false,false
delta_24h,wallet_hhi_notional,113,0.18363831,0.15164628,0.18363831,false,false
price_last,vol_scaled_delta_6h,113,0.18254896,0.09115567,0.18254896,false,false
delta_24h,same_side_transition_share,113,0.17812920,0.16663814,0.17812920,false,false
large_trade_share_top_decile,signed_notional_imbalance,115,0.17789746,0.10783316,0.17789746,false,false
cusum_proxy_24h,max_run_share,115,-0.17729393,-0.12332228,0.17729393,false,false
delta_24h,top_wallet_notional_share,113,0.16375470,0.13691997,0.16375470,false,false
delta_1h,signed_count_imbalance,115,0.16225839,0.07672369,0.16225839,false,false
cusum_proxy_24h,sign_consistency_1_6_24h,113,-0.16078901,-0.20319047,0.16078901,false,false
large_trade_share_top_decile,path_roughness_24h,115,0.15734859,0.09131163,0.15734859,false,false
signed_count_imbalance,vol_scaled_delta_6h,113,-0.15498179,-0.20380720,0.15498179,false,false
log_wallet_count,price_last,115,0.15212385,0.09737157,0.15212385,false,false
price_last,wallet_count,115,0.15212385,0.09645059,0.15212385,false,false
delta_1h,signed_notional_imbalance,115,0.15018780,0.05214995,0.15018780,false,false
hourly_realized_scale_24h,sign_consistency_1_6_24h,113,-0.14909612,-0.21121908,0.14909612,false,false
delta_6h,price_last,115,0.14474991,0.16586771,0.14474991,false,false
price_last,velocity_6h_per_hour,115,0.14474991,0.16586771,0.14474991,false,false
delta_24h,log_trade_count,113,-0.14404474,-0.13178985,0.14404474,false,false
delta_24h,trade_count,113,-0.14404474,-0.06638872,0.14404474,false,false
max_hourly_jump_24h,max_run_share,115,-0.14374280,-0.08340103,0.14374280,false,false
log_total_notional,price_last,115,0.14226517,0.02316596,0.14226517,false,false
price_last,total_collateral_notional,115,0.14226517,0.02518696,0.14226517,false,false
max_hourly_jump_24h,sign_consistency_1_6_24h,113,-0.14090701,-0.21599364,0.14090701,false,false
acceleration_proxy_1h_vs_6h,signed_count_imbalance,115,0.14049415,0.13133141,0.14049415,false,false
acceleration_proxy_1h_vs_6h,same_side_transition_share,115,0.13792190,0.08265987,0.13792190,false,false
path_roughness_24h,sign_consistency_1_6_24h,113,-0.13457882,-0.15776271,0.13457882,false,false
log_trade_count,path_roughness_24h,115,0.13400543,0.05745719,0.13400543,false,false
path_roughness_24h,trade_count,115,0.13400543,0.07046953,0.13400543,false,false
acceleration_proxy_1h_vs_6h,top_wallet_notional_share,115,-0.13269100,0.01822757,0.13269100,false,false
cusum_proxy_24h,log_total_notional,115,0.13071937,0.03766923,0.13071937,false,false
cusum_proxy_24h,total_collateral_notional,115,0.13071937,-0.03096352,0.13071937,false,false
cusum_proxy_24h,large_trade_share_top_decile,115,0.12713299,0.11869748,0.12713299,false,false
hourly_realized_scale_24h,log_total_notional,115,0.12662872,0.04063567,0.12662872,false,false
hourly_realized_scale_24h,total_collateral_notional,115,0.12662872,-0.02609677,0.12662872,false,false
acceleration_proxy_1h_vs_6h,wallet_hhi_notional,115,-0.12650665,0.05957510,0.12650665,false,false
hourly_realized_scale_24h,vol_scaled_delta_6h,113,-0.12607792,-0.09743860,0.12607792,false,false
acceleration_proxy_1h_vs_6h,large_trade_share_top_decile,115,-0.12583135,-0.10044720,0.12583135,false,false
delta_24h,log_wallet_count,113,-0.12549141,-0.12704672,0.12549141,false,false
delta_24h,wallet_count,113,-0.12549141,-0.06323262,0.12549141,false,false
log_trade_count,price_last,115,0.12236876,0.06524644,0.12236876,false,false
price_last,trade_count,115,0.12236876,0.06100112,0.12236876,false,false
path_roughness_24h,vol_scaled_delta_6h,113,-0.12219175,-0.07744700,0.12219175,false,false
signed_count_imbalance,top_wallet_notional_share,115,-0.11960146,-0.13909315,0.11960146,false,false
max_hourly_jump_24h,top_wallet_notional_share,115,0.11878240,0.20445339,0.11878240,false,false
hourly_realized_scale_24h,large_trade_share_top_decile,115,0.11812631,0.10602726,0.11812631,false,false
cusum_proxy_24h,signed_notional_imbalance,115,-0.11784781,-0.26058658,0.11784781,false,false
log_wallet_count,path_roughness_24h,115,0.11584624,0.04636656,0.11584624,false,false
path_roughness_24h,wallet_count,115,0.11584624,0.07099959,0.11584624,false,false
delta_1h,max_run_share,115,0.11372060,0.13645800,0.11372060,false,false
sign_consistency_1_6_24h,signed_notional_imbalance,113,0.11161782,0.13969011,0.11161782,false,false
cusum_proxy_24h,vol_scaled_delta_6h,113,-0.10975138,-0.10324859,0.10975138,false,false
signed_count_imbalance,wallet_hhi_notional,115,-0.10775575,-0.16923809,0.10775575,false,false
delta_6h,wallet_hhi_notional,115,0.10700491,0.11876460,0.10700491,false,false
velocity_6h_per_hour,wallet_hhi_notional,115,0.10700491,0.11876460,0.10700491,false,false
cusum_proxy_24h,signed_count_imbalance,115,-0.10698671,-0.21940900,0.10698671,false,false
log_trade_count,signed_notional_imbalance,115,-0.10582874,-0.03930619,0.10582874,false,false
signed_notional_imbalance,trade_count,115,-0.10582874,0.08086711,0.10582874,false,false
delta_6h,log_trade_count,115,-0.10542105,-0.15124688,0.10542105,false,false
delta_6h,trade_count,115,-0.10542105,-0.03753471,0.10542105,false,false
log_trade_count,velocity_6h_per_hour,115,-0.10542105,-0.15124688,0.10542105,false,false
trade_count,velocity_6h_per_hour,115,-0.10542105,-0.03753471,0.10542105,false,false
max_hourly_jump_24h,vol_scaled_delta_6h,113,-0.10315306,-0.10309128,0.10315306,false,false
delta_6h,log_wallet_count,115,-0.10175233,-0.14853486,0.10175233,false,false
delta_6h,wallet_count,115,-0.10175233,-0.02448197,0.10175233,false,false
log_wallet_count,velocity_6h_per_hour,115,-0.10175233,-0.14853486,0.10175233,false,false
velocity_6h_per_hour,wallet_count,115,-0.10175233,-0.02448197,0.10175233,false,false
max_hourly_jump_24h,wallet_hhi_notional,115,0.10168544,0.20237557,0.10168544,false,false
same_side_transition_share,sign_consistency_1_6_24h,113,0.09932743,0.08700029,0.09932743,false,false
delta_24h,large_trade_share_top_decile,113,0.09909344,0.12728878,0.09909344,false,false
delta_24h,max_run_share,113,0.09833475,0.10511542,0.09833475,false,false
large_trade_share_top_decile,max_hourly_jump_24h,115,0.09701438,0.12114745,0.09701438,false,false
acceleration_proxy_1h_vs_6h,price_last,115,-0.09647794,0.10572365,0.09647794,false,false
cusum_proxy_24h,top_wallet_notional_share,115,0.09638245,0.13725688,0.09638245,false,false
delta_6h,top_wallet_notional_share,115,0.09510274,0.09658449,0.09510274,false,false
top_wallet_notional_share,velocity_6h_per_hour,115,0.09510274,0.09658449,0.09510274,false,false
max_hourly_jump_24h,signed_count_imbalance,115,-0.09307875,-0.19754489,0.09307875,false,false
cusum_proxy_24h,delta_24h,113,-0.09007170,-0.04509618,0.09007170,false,false
delta_6h,signed_count_imbalance,115,-0.08931024,-0.14330197,0.08931024,false,false
signed_count_imbalance,velocity_6h_per_hour,115,-0.08931024,-0.14330197,0.08931024,false,false
hourly_realized_scale_24h,signed_notional_imbalance,115,-0.08930865,-0.22030908,0.08930865,false,false
hourly_realized_scale_24h,top_wallet_notional_share,115,0.08838563,0.17974984,0.08838563,false,false
