rank,route_id,status,markets_considered,history_returned,trade_rows_total,executed_trades,hit_rate,mean_net_pnl_per_contract,total_net_pnl_per_1_contract_each,blocked_reason
1,FORECASTEX_EVENT_CONTRACTS,MATERIALIZED_BACKTEST,120,115,110,110,0.9090909090909091,0.48954545454545456,53.85000000000003,
2,PM_KALSHI_CONTRACT_PNL,MATERIALIZED_BACKTEST,80,80,78,57,0.8070175438596491,-0.03228070175438595,-1.8399999999999994,
3,LEGACY_EQUITY_RECONSTRUCTION,READY_BASELINE_PRESENTATION_PACKAGE,796,108,108,34,,,,
4,PM_ALL_POLYMARKET_CONTRACT_PNL,MATERIALIZED_BACKTEST,100,99,44,32,0.75,-0.16225,-5.191999999999999,44311756652055588440685018443862158389922949244484310992758163450991876928963: HTTPError: HTTP Error 400: Bad Request
5,PM_POLYMARKET_MACRO_CONTRACT_PNL,MATERIALIZED_BACKTEST,19,19,7,5,0.6,-0.322,-1.6099999999999999,
6,PM_POLYMARKET_FDA_BIOTECH_CONTRACT_PNL,MATERIALIZED_BACKTEST,2,2,2,1,1.0,0.205,0.205,
