available_price_outcome_records,average_loss,average_win,buy_no,buy_yes,cost_bps,gross_loss_abs,gross_profit,hit_rate,hit_rate_wilson95,largest_gain,largest_loss,losses,max_consecutive_losses,max_consecutive_wins,max_drawdown_equal_contract_cumulative_pnl,mean_pnl_bootstrap95,mean_pnl_per_contract,mean_return_on_stake,median_pnl_per_contract,median_return_on_stake,n,p05_pnl,p05_return_on_stake,p25_pnl,p50_pnl,p75_pnl,p95_pnl,p95_return_on_stake,payoff_ratio_abs_avg_win_over_loss,profit_factor,scope,std_pnl_per_contract,threshold_no,threshold_yes,top3_losses_share_of_gross_loss,top3_losses_sum,total_pnl_per_1_contract_each,wins,zeros
49,-0.736125,0.087475,40,8,0,5.889,3.498999999999999,0.8333333333333334,"[0.7042217159874441, 0.9130448642351444]",0.4105,-0.959,8,3,17,-3.964500000000001,"[None, None]",-0.04979166666666667,-0.06382930272009317,0.01649999999999998,0.016781022224186495,48,-0.82525,-1.0,0.0025,0.01649999999999998,0.06012499999999999,0.354125,0.5482924785250367,0.11883172015622345,0.5941586007811172,POLYMARKET_ALL,0.332649775685914,0.44999999999999996,0.55,0.456359313975208,-2.6875,-2.3899999999999997,40,0
49,-0.736861125,0.086562475,40,8,10,5.894889000000001,3.462498999999999,0.8333333333333334,"[0.7042217159874441, 0.9130448642351444]",0.40991049999999996,-0.959959,8,3,17,-3.9934645,"[None, None]",-0.05067479166666667,-0.06482930272009317,0.015516499999999978,0.015781022224186494,48,-0.82607525,-1.0010000000000001,0.0015025,0.015516499999999978,0.05918512499999999,0.353479125,0.5472924785250367,0.1174746123294264,0.5873730616471317,POLYMARKET_ALL,0.3326385846525073,0.44999999999999996,0.55,0.45635931397520796,-2.6901875,-2.4323900000000003,40,0
49,-0.5369281818181818,0.0921685135135135,40,8,25,5.90621,3.4102350000000006,0.7708333333333334,"[0.6346073590999655, 0.8669217373308877]",0.40902625,-0.9613975,11,4,14,-4.03691125,"[None, None]",-0.051999479166666675,-0.06632930272009317,0.014041249999999977,0.014281022224186493,48,-0.8273131249999999,-1.0025,6.250000000000179e-06,0.014041249999999977,0.05777531249999998,0.3525103125,0.5457924785250367,0.17165892317554718,0.5773981961359316,POLYMARKET_ALL,0.3326219144605722,0.44999999999999996,0.55,0.45616711054974346,-2.69421875,-2.495975,37,0
49,-0.34946073529411764,0.10770588709677419,40,8,50,5.940832499999999,3.3388825000000004,0.6458333333333334,"[0.504390570103431, 0.7656635587439515]",0.4075525,-0.963795,17,4,6,-4.109322499999999,"[None, None]",-0.05420729166666668,-0.06882930272009317,0.011582499999999978,0.011781022224186494,48,-0.8293762499999999,-1.0050000000000001,-0.0024874999999999997,0.011582499999999978,0.05542562499999999,0.350895625,0.5432924785250366,0.30820597629122876,0.5620226626487115,POLYMARKET_ALL,0.3325944411475457,0.44999999999999996,0.55,0.45463956440448383,-2.7009375,-2.60195,31,0
49,-0.8265,0.07919230769230769,37,7,0,4.132499999999999,3.0884999999999994,0.8863636363636364,"[0.7602084758339172, 0.950472193989075]",0.38,-0.959,5,2,19,-3.359,"[None, None]",-0.02372727272727273,-0.01727634936262457,0.0235,0.024092389598724104,44,-0.8422499999999999,-1.0,0.0025,0.0235,0.06012499999999999,0.35235000000000005,0.544044319680403,0.09581646423751686,0.7473684210526316,POLYMARKET_ALL,0.30926640572610503,0.4,0.6,0.6503327283726559,-2.6875,-1.0439999999999996,39,0
49,-0.8273265000000001,0.0782715,37,7,10,4.1366325,3.052588499999999,0.8863636363636364,"[0.7602084758339172, 0.950472193989075]",0.37938,-0.959959,5,2,19,-3.370359,"[None, None]",-0.02463736363636364,-0.018276349362624577,0.022523500000000002,0.023092389598724103,44,-0.8430922500000001,-1.0010000000000001,0.0015025,0.022523500000000002,0.05918512499999999,0.35170235000000005,0.5430443196804029,0.0946077515950474,0.7379404624413696,POLYMARKET_ALL,0.309280724752709,0.4,0.6,0.6503327283726558,-2.6901875,-1.0840440000000007,39,0
49,-0.51816484375,0.08336690972222222,37,7,25,4.1453187499999995,3.0012087500000004,0.8181818181818182,"[0.6803944911281533, 0.9048719428437227]",0.37845,-0.9613975,8,3,13,-3.3883937500000005,"[None, None]",-0.026002500000000005,-0.01977634936262457,0.02105875,0.0215923895987241,44,-0.8443556249999999,-1.0025,6.250000000000179e-06,0.02105875,0.05777531249999998,0.35073087500000005,0.5415443196804031,0.16088878033270124,0.7239995114971559,POLYMARKET_ALL,0.3093022864362197,0.4,0.6,0.6499424802978059,-2.69421875,-1.1441100000000002,36,0
49,-0.29825357142857145,0.097711,37,7,50,4.175549999999999,2.9313300000000004,0.6818181818181818,"[0.5344310393781777, 0.8000069228914657]",0.3769,-0.963795,14,3,6,-3.4192875,"[None, None]",-0.028277727272727274,-0.022276349362624574,0.0186175,0.019092389598724106,44,-0.84646125,-1.0050000000000001,-0.0024874999999999997,0.0186175,0.05542562499999999,0.34911175,0.539044319680403,0.327610494425884,0.702022488055466,POLYMARKET_ALL,0.3093384442401098,0.4,0.6,0.6468459244889896,-2.7009375,-1.2442199999999997,30,0
49,-0.8265,0.04712857142857142,35,5,0,4.132499999999999,1.6494999999999997,0.875,"[0.738878801611489, 0.945404997490546]",0.3385,-0.959,5,2,16,-3.7140000000000004,"[None, None]",-0.062075000000000005,-0.07524679463308258,0.013499999999999979,0.013685785664283995,40,-0.8559249999999999,-1.0,0.0025,0.013499999999999979,0.04475,0.17802499999999977,0.2170428518136707,0.05702186500734594,0.3991530550514217,POLYMARKET_ALL,0.29836289879105277,0.35,0.65,0.6503327283726559,-2.6875,-2.4829999999999997,35,0
49,-0.8273265000000001,0.0461757,35,5,10,4.1366325,1.6161495,0.875,"[0.738878801611489, 0.945404997490546]",0.33783850000000004,-0.959959,5,2,16,-3.724714,"[None, None]",-0.063012075,-0.07624679463308258,0.01251349999999998,0.012685785664283994,40,-0.856780925,-1.0010000000000001,0.0015025,0.01251349999999998,0.04379475,0.1772030249999998,0.21604285181367067,0.055813152364876495,0.39069206655413546,POLYMARKET_ALL,0.2983410150363496,0.35,0.65,0.6503327283726558,-2.6901875,-2.5204830000000005,35,0
49,-0.51816484375,0.04901910156249999,35,5,25,4.1453187499999995,1.5686112500000002,0.8,"[0.652426936536005, 0.895000102745623]",0.33684625,-0.9613975,8,3,12,-3.74178125,"[None, None]",-0.06441768750000001,-0.07774679463308258,0.011033749999999978,0.011185785664283994,40,-0.8580648125,-1.0025,6.250000000000179e-06,0.011033749999999978,0.04236187499999999,0.17597006249999977,0.21454285181367067,0.09460136509405939,0.37840546037623773,POLYMARKET_ALL,0.29830823220987984,0.35,0.65,0.6499424802978059,-2.69421875,-2.576707499999999,32,0
49,-0.29825357142857145,0.057889807692307685,35,5,50,4.175549999999999,1.505135,0.65,"[0.49505880837257693, 0.7786547112682372]",0.3351925,-0.963795,14,3,6,-3.7710625,"[None, None]",-0.06676037500000001,-0.08024679463308258,0.008567499999999978,0.008685785664283994,40,-0.860204625,-1.0050000000000001,-0.0024874999999999997,0.008567499999999978,0.03997375,0.17391512499999978,0.21204285181367066,0.1940959412993037,0.3604638909844212,POLYMARKET_ALL,0.2982537083557963,0.35,0.65,0.6468459244889896,-2.7009375,-2.6704149999999998,26,0
49,-0.864375,0.038558823529411757,33,5,0,3.4575,1.3109999999999995,0.8947368421052632,"[0.7586947827711269, 0.9582974265244647]",0.245,-0.959,4,2,16,-3.0390000000000006,"[None, None]",-0.05648684210526316,-0.06635756796719439,0.013499999999999979,0.013685785664283995,38,-0.857775,-1.0,0.0025,0.013499999999999979,0.0445,0.1069249999999999,0.12093457506082017,0.044608906469312225,0.37917570498915387,POLYMARKET_ALL,0.28207374658248563,0.30000000000000004,0.7,0.777295733911786,-2.6875,-2.1464999999999996,34,0
