exact_group_id,ticker,event_date,pit_timestamp,safe_cutoff_utc,pit_probability,m2_probability,market_id,event_key,token_id,source_file,join_key,signal_map_version
W4CE1-287d55b8dfdbd4eaca77,BA,2025-10-29,2025-10-28T19:59:06Z,2025-10-28T20:00:00Z,0.44,0.44,647505,BA|2025-10-29,47329751011335295935722288490545932928316899283050808979765379361585202416956,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-2bbf6b314c1dd0602d21,CRCL,2025-11-12,2025-11-11T20:59:05Z,2025-11-11T21:00:00Z,0.9,0.9,668460,CRCL|2025-11-12,109056363571687373983948033529752179637533606904237177041136311248344656089863,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-2ccfb70e66224b2b4c21,HAS,2025-10-23,2025-10-22T19:59:04Z,2025-10-22T20:00:00Z,0.81,0.81,637876,HAS|2025-10-23,91249845920824591788796775999720558231865769280516539995543002521665514030104,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-2d32613a8b9571c93f99,PAG,2026-02-11,2026-02-10T20:59:13Z,2026-02-10T21:00:00Z,0.62,0.62,1293041,PAG|2026-02-11,107155358555328888022639180107309398091613306146786457588378047581889130648735,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-3140ad301ea0cd416aeb,UNP,2026-01-27,2026-01-26T20:59:12Z,2026-01-26T21:00:00Z,0.515,0.515,1175892,UNP|2026-01-27,80456587554889378491338296494476310883065751876585591147341089339384108740721,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-367d2d5e629c91ca72c2,BOX,2026-03-03,2026-03-02T20:59:20Z,2026-03-02T21:00:00Z,0.695,0.695,1399742,BOX|2026-03-03,36259257426040797078457967821397259894611531051657935049973218740213413876039,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-38b471a8e55083fc4286,CSGP,2026-02-24,2026-02-23T20:59:15Z,2026-02-23T21:00:00Z,0.455,0.455,1362677,CSGP|2026-02-24,78383882992993112768510017243507853733722412500309308593818997604937402599981,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-38ff84e092d46731d566,DBX,2025-11-06,2025-11-05T20:59:05Z,2025-11-05T21:00:00Z,0.87,0.87,657080,DBX|2025-11-06,97403779920796137164413329181149114259091046097999690172470117226272339216855,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-3dc31fc3fa40f1f5e19f,EXPE,2025-11-06,2025-11-05T20:59:07Z,2025-11-05T21:00:00Z,0.87,0.87,657007,EXPE|2025-11-06,50017823175853354261920916677899051083346432372683510341363776877695828348707,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-3e876170d2756b1a8a1b,RKLB,2026-02-26,2026-02-25T20:59:24Z,2026-02-25T21:00:00Z,0.615,0.615,1369645,RKLB|2026-02-26,97486774036738469532992046375765586431108959439334732706955003823073141039956,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-3f4cd08c855d33bd2129,CASY,2025-12-09,2025-12-08T20:59:08Z,2025-12-08T21:00:00Z,0.92,0.92,701955,CASY|2025-12-09,13698626683054112030368460254408434324707680604956356885298767706127561194501,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-3fce9ad6996d93d902ce,PAYX,2026-03-25,2026-03-24T19:59:25Z,2026-03-24T20:00:00Z,0.86,0.86,1555635,PAYX|2026-03-25,37648642678377278315314796554770021007812544012943813234166458887038778675788,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-43fcba022ec2b5ffa65c,DOW,2025-10-23,2025-10-22T19:59:05Z,2025-10-22T20:00:00Z,0.525,0.525,637870,DOW|2025-10-23,4586375012467917576472638850677744205486187451458931594934868522971681347438,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-4545e626bc4662c14623,EL,2026-05-01,2026-04-30T19:59:04Z,2026-04-30T20:00:00Z,0.81,0.81,2039914,EL|2026-05-01,19328713205014838359457610155577576034851086845025149535400579630600477191866,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-49a050c70c3076597af5,EBAY,2026-02-18,2026-02-17T20:59:17Z,2026-02-17T21:00:00Z,0.895,0.895,1367585,EBAY|2026-02-18,111377014998998346695638705352849593346890694783929678586384576513083025058469,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-4bfe3323d5d49a764cae,ASO,2026-03-17,2026-03-16T19:59:26Z,2026-03-16T20:00:00Z,0.626,0.626,1494785,ASO|2026-03-17,17909271779340770258453835780818299140259739093040844466574645320126555042651,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-4c095fd5e6b7c4b60528,INTU,2026-05-20,2026-05-19T19:59:04Z,2026-05-19T20:00:00Z,0.91,0.91,2186408,INTU|2026-05-20,112062790529046511095771767616658123913346329693749766848615441120644527371631,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
W4CE1-4e878b3a74090f5775a1,UNFI,2025-12-02,2025-12-01T20:59:08Z,2025-12-01T21:00:00Z,0.935,0.935,696263,UNFI|2025-12-02,56507631820075957348449326529792517108251810852048693868958176653710807625164,data/ic04_yes_probability_trajectory.csv.gz,ticker+event_date/company_event_date;latest_yes_price_at_or_before_safe_cutoff,W4C-R1-EXPANDED-SIGNAL-MAP-v2.0
