market_id,event_key,pre_cutoff_trades,pass,side_mismatches,structural_review,missing_or_unmatched,v1,v2,status
2003539,HUM|2026-04-29,57,57,0,0,0,55,2,PASS
2003526,VIRT|2026-04-29,28,28,0,0,0,28,0,PASS
2003563,H|2026-04-30,68,68,0,0,0,42,26,PASS
2039914,EL|2026-05-01,7,7,0,0,0,2,5,PASS
2039915,GRAB|2026-05-04,12,12,0,0,0,2,10,PASS
2039918,HESM|2026-05-04,3,3,0,0,0,1,2,PASS
2039917,WMB|2026-05-04,6,6,0,0,0,0,6,PASS
2048148,EA|2026-05-05,10,10,0,0,0,2,8,PASS
2048140,NVTS|2026-05-05,55,55,0,0,0,0,55,PASS
2062032,UBER|2026-05-06,197,197,0,0,0,3,194,PASS
2062054,DKNG|2026-05-07,16,16,0,0,0,3,13,PASS
2062068,WRBY|2026-05-07,34,34,0,0,0,2,32,PASS
2110078,CRCL|2026-05-11,52,52,0,0,0,0,52,PASS
2110080,ETOR|2026-05-12,17,17,0,0,0,0,17,PASS
2110084,CSCO|2026-05-13,73,73,0,0,0,0,73,PASS
2129328,AMAT|2026-05-14,27,27,0,0,0,0,27,PASS
2186408,INTU|2026-05-20,16,16,0,0,0,0,16,PASS
2186409,DE|2026-05-21,24,24,0,0,0,0,24,PASS
2357805,ANF|2026-05-27,0,0,0,0,0,0,0,NO_PRE_CUTOFF_TAPE
2357788,BRZE|2026-05-27,0,0,0,0,0,0,0,NO_PRE_CUTOFF_TAPE
2312767,PANW|2026-06-02,46,46,0,0,0,0,46,PASS
2335601,DOCU|2026-06-04,36,36,0,0,0,0,36,PASS
2335543,IOT|2026-06-04,20,20,0,0,0,0,20,PASS
2387793,MTN|2026-06-08,8,8,0,0,0,0,8,PASS
2387806,CHWY|2026-06-10,37,37,0,0,0,0,37,PASS
2700674,PEP|2026-07-09,59,59,0,0,0,0,59,PASS
2745655,BAC|2026-07-14,25,25,0,0,0,0,25,PASS
2775485,JNJ|2026-07-15,31,31,0,0,0,0,31,PASS
2775497,MTB|2026-07-15,19,19,0,0,0,0,19,PASS
2866596,MBWM|2026-07-21,20,20,0,0,0,0,20,PASS
2866430,AAL|2026-07-23,15,15,0,0,0,0,15,PASS
2910387,VZ|2026-07-24,23,23,0,0,0,0,23,PASS
2941073,PYPL|2026-07-28,93,93,0,0,0,0,93,PASS
