track,stage,unit,resolved_family,n,stage_total_n,share_pct,claim_status
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,FOMC_DECISION,8,101,7.920792,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,GDP_RELEASE,21,101,20.792079,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,MA_PRE_ANNOUNCEMENT_OR_RUMOR,3,101,2.970297,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,PAYROLLS_JOBS_RELEASE,1,101,0.990099,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,PCE_RELEASE,10,101,9.900990,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,RETAIL_SALES_RELEASE,9,101,8.910891,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH1_FULL_LADDER,kalshi_canonical_event,UNEMPLOYMENT_RELEASE,11,101,10.891089,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,ANTITRUST_ENFORCEMENT_SINGLE_NAME,2,132,1.515152,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,CORPORATE_LITIGATION_BINARY,21,132,15.909091,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,CPI_INFLATION_RELEASE,32,132,24.242424,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,FDA_FINAL_PDUFA_DECISION,5,132,3.787879,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,FOMC_DECISION,9,132,6.818182,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,GDP_RELEASE,25,132,18.939394,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,MA_PRE_ANNOUNCEMENT_OR_RUMOR,4,132,3.030303,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,PAYROLLS_JOBS_RELEASE,1,132,0.757576,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,PCE_RELEASE,11,132,8.333333,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,RETAIL_SALES_RELEASE,10,132,7.575758,HISTORY_QUALIFIED_DESCRIPTIVE
KALSHI_HISTORY,KH2_CORE_T10_TO_T1H,kalshi_canonical_event,UNEMPLOYMENT_RELEASE,12,132,9.090909,HISTORY_QUALIFIED_DESCRIPTIVE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,CORPORATE_LITIGATION_BINARY,2,481,0.415800,CENSUS_CAPACITY_NOT_BACKTESTABLE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,CPI_INFLATION_RELEASE,146,481,30.353430,CENSUS_CAPACITY_NOT_BACKTESTABLE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,FOMC_DECISION,18,481,3.742204,CENSUS_CAPACITY_NOT_BACKTESTABLE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,GDP_RELEASE,78,481,16.216216,CENSUS_CAPACITY_NOT_BACKTESTABLE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,PCE_RELEASE,37,481,7.692308,CENSUS_CAPACITY_NOT_BACKTESTABLE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,RETAIL_SALES_RELEASE,40,481,8.316008,CENSUS_CAPACITY_NOT_BACKTESTABLE
FORECASTEX_CENSUS,FX2_WITHIN_VENUE_CANONICAL,venue_canonical_event,UNEMPLOYMENT_RELEASE,160,481,33.264033,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,ANTITRUST_ENFORCEMENT_SINGLE_NAME,4,1591,0.251414,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,CORPORATE_LITIGATION_BINARY,28,1591,1.759899,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,CPI_INFLATION_RELEASE,5,1591,0.314268,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,EARNINGS_EPS,1355,1591,85.166562,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,FDA_FINAL_PDUFA_DECISION,10,1591,0.628536,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,FOMC_DECISION,58,1591,3.645506,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,GDP_RELEASE,27,1591,1.697046,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,MA_PENDING_COMPLETION,1,1591,0.062854,CENSUS_CAPACITY_NOT_BACKTESTABLE
POLYMARKET_RECENSUS,PM1_WITHIN_VENUE_CANONICAL,venue_canonical_event,MA_PRE_ANNOUNCEMENT_OR_RUMOR,12,1591,0.754243,CENSUS_CAPACITY_NOT_BACKTESTABLE
