model,n,date_clusters,brier,log_loss,auc,calibration_intercept,calibration_slope,ece_5bin,mean_prediction,base_rate
p_M2_RAW,75,54,0.13954701,0.430291826184,0.805555555556,-0.0819846236454,1.07834322363,0.0424333333333,0.760846666667,0.76
p_M2_CAL,75,54,0.145026508034,0.454001856117,0.785575048733,-0.596610993247,1.54366434916,0.0474481103928,0.763620699023,0.76
p_M_MOVE_CORE,75,54,0.162097498749,0.540384257421,0.673489278752,0.449065568605,0.52238039511,0.0699928459231,0.774116803717,0.76
p_M_MOVE_MP,75,54,0.169076988555,0.543225129551,0.683235867446,0.408205466549,0.506243507873,0.0667775612059,0.784283727862,0.76
p_R_VOL,75,54,0.168275405656,0.619698398381,0.664717348928,0.846964005687,0.214126081094,0.0751565139307,0.762146975594,0.76
p_R_SIGN,75,54,0.160135013569,0.519141115024,0.67738791423,0.390038690597,0.63060893956,0.10291961222,0.75863336479,0.76
