feature_a,feature_b,n_overlap,spearman_rho,pearson_r,abs_spearman,near_duplicate_flag
same_direction_transition_share_lifecycle,large_trade_notional_share_24h,97,0.1105457026,0.02742939769,0.1105457026,false
signed_notional_imbalance_24h,sign_consistency_1_6_24h,101,0.1104355598,0.1169314674,0.1104355598,false
large_trade_notional_share_24h,matrix_profile_discord_6h,94,0.09887019556,0.06746306682,0.09887019556,false
large_trade_notional_share_24h,cusum_score_6h,96,0.09291014456,-0.1049146053,0.09291014456,false
vol_scaled_delta_6h,matrix_profile_discord_6h,103,-0.09160739124,-0.1347951295,0.09160739124,false
vol_scaled_delta_6h,same_direction_transition_share_lifecycle,104,0.08961878713,0.07580608804,0.08961878713,false
wallet_hhi_notional_24h,matrix_profile_discord_6h,95,-0.07052233295,-0.1060332048,0.07052233295,false
velocity_6h_per_hour,same_direction_transition_share_lifecycle,111,0.06963629328,0.04508299747,0.06963629328,false
vol_scaled_delta_6h,jump_score_6h,108,0.06540522682,-0.9130472928,0.06540522682,false
velocity_6h_per_hour,cusum_score_6h,108,0.06491795158,-0.2223378828,0.06491795158,false
jump_score_6h,large_trade_notional_share_24h,96,0.06361434855,-0.1011425435,0.06361434855,false
wallet_hhi_notional_24h,sign_consistency_1_6_24h,101,-0.05895525807,-0.0798205011,0.05895525807,false
conditional_z_move_6h,matrix_profile_discord_6h,84,-0.05449550757,-0.07479548869,0.05449550757,false
conformal_log_martingale_6h,sign_consistency_1_6_24h,112,0.05134611146,0.07841382467,0.05134611146,false
same_direction_transition_share_lifecycle,multivariate_anomaly_distance,74,0.04725762143,0.01596629931,0.04725762143,false
same_direction_transition_share_lifecycle,prequential_feature_distance,74,0.04725762143,0.01596629931,0.04725762143,false
velocity_6h_per_hour,matrix_profile_discord_6h,107,-0.04398105481,-0.04988094391,0.04398105481,false
conditional_z_move_6h,sign_consistency_1_6_24h,88,0.04287994705,-0.08334198195,0.04287994705,false
vol_scaled_delta_6h,sign_consistency_1_6_24h,108,0.03945501025,-0.1203528198,0.03945501025,false
same_direction_transition_share_lifecycle,conformal_log_martingale_6h,108,-0.03903399345,-0.1198437573,0.03903399345,false
wallet_hhi_notional_24h,conformal_log_martingale_6h,100,0.03815192392,0.02094450472,0.03815192392,false
conditional_z_move_6h,post_jump_half_life_hours,30,0.03598859156,0.1645168661,0.03598859156,false
velocity_6h_per_hour,conformal_log_martingale_6h,112,-0.03132066262,-0.1263656219,0.03132066262,false
conditional_z_move_6h,cusum_score_6h,88,0.02940049696,-0.240704306,0.02940049696,false
large_trade_notional_share_24h,multivariate_anomaly_distance,74,-0.02922572215,0.009215812665,0.02922572215,false
large_trade_notional_share_24h,prequential_feature_distance,74,-0.02922572215,0.009215812665,0.02922572215,false
velocity_6h_per_hour,post_jump_half_life_hours,33,-0.02839505704,0.09714558189,0.02839505704,false
wallet_hhi_notional_24h,same_direction_transition_share_lifecycle,100,-0.02512564324,-0.04612702441,0.02512564324,false
velocity_6h_per_hour,sign_consistency_1_6_24h,113,0.02470939839,-0.1238657667,0.02470939839,false
sign_consistency_1_6_24h,post_jump_half_life_hours,33,0.02369403674,-0.02277008172,0.02369403674,false
vol_scaled_delta_6h,conformal_log_martingale_6h,108,-0.02330495174,-0.1525063881,0.02330495174,false
same_direction_transition_share_lifecycle,matrix_profile_discord_6h,104,-0.02269002261,-0.05070940857,0.02269002261,false
signed_notional_imbalance_24h,conformal_log_martingale_6h,100,0.01937816497,-0.05307565579,0.01937816497,false
same_direction_transition_share_lifecycle,cusum_score_6h,104,-0.01333835017,-0.06896914624,0.01333835017,false
wallet_hhi_notional_24h,jump_score_6h,97,0.01155328195,-0.08918287983,0.01155328195,false
velocity_6h_per_hour,jump_score_6h,108,0.0102681949,-0.2313836532,0.0102681949,false
conditional_z_move_6h,jump_score_6h,88,-0.009876348828,-0.2436996849,0.009876348828,false
conditional_z_move_6h,conformal_log_martingale_6h,88,0.007368322755,-0.110024833,0.007368322755,false
multivariate_anomaly_distance,sign_consistency_1_6_24h,74,-0.006148354308,0.0372684064,0.006148354308,false
sign_consistency_1_6_24h,prequential_feature_distance,74,-0.006148354308,0.0372684064,0.006148354308,false
wallet_hhi_notional_24h,cusum_score_6h,97,0.005253952017,-0.08957089242,0.005253952017,false
same_direction_transition_share_lifecycle,jump_score_6h,104,0.001219356062,-0.06624890293,0.001219356062,false
