trial_id,removed_feature,n,brier_ablated,brier_full_core,brier_contribution,logloss_contribution,supports_family_contribution_pointwise
EXP07I-A01,conditional_z_move_6h,75,0.160139447187,0.162097498749,-0.00195805156185,-0.00814524494001,false
EXP07I-A02,velocity_6h_per_hour,75,0.161283991613,0.162097498749,-0.000813507135682,-0.0151993590707,false
EXP07I-A03,signed_notional_imbalance_24h,75,0.157528505529,0.162097498749,-0.00456899321946,-0.0118656380508,false
EXP07I-A04,wallet_hhi_notional_24h,75,0.157704888125,0.162097498749,-0.00439261062378,-0.0256371852193,false
EXP07I-A05,same_direction_transition_share_lifecycle,75,0.161379152806,0.162097498749,-0.000718345942788,0.00140537037938,false
EXP07I-A06,jump_score_6h,75,0.162427845029,0.162097498749,0.000330346280246,-0.0242899961078,true
